episode_id,market,strategyName,strategyVersion,startAt,startAt_kst,lastAt,lastAt_kst,entryPrice,stopLossPrice,targetPrice,targetPct,stopPct,initialScore,maxScore,rows,eventTypes,maxMfePercent,minMaePercent,firstTargetAt_kst,firstStopAt_kst,outcome,pnlPct_rule,lastEvent,lastCurrentPrice,reason,score_bin,start_dt,timeToTargetMin,timeToStopMin
611,KRW-MBL,Momentum Breakout,v1,1778488045673,2026-05-11 17:27:25.673000+09:00,1778504039229,2026-05-11 21:53:59.229000+09:00,1.49,1.46765,1.5198,2.0000000000000018,-1.5000000000000013,43.24099580077559,50.41818956296331,2,INITIAL_SIGNAL|PRICE_MOVED_5_PERCENT,6.71140939597316,0.0,2026-05-11 21:53:59.229000+09:00,,TARGET_FIRST,2.0000000000000018,PRICE_MOVED_5_PERCENT,1.59,Positive trend with strong 24h trading value,"[40, 44)",2026-05-11 17:27:25.673000+09:00,266.5592666666667,
844,KRW-MED,Momentum Breakout,v1,1778510986446,2026-05-11 23:49:46.446000+09:00,1778543010992,2026-05-12 08:43:30.992000+09:00,3.62,3.5657,3.6924,2.0000000000000018,-1.5000000000000013,48.58343116160231,48.58343116160231,17,PRICE_MOVED_5_PERCENT|INITIAL_SIGNAL,0.0,-6.077348066298348,,2026-05-12 00:26:42.963000+09:00,STOP_FIRST,-1.5000000000000013,PRICE_MOVED_5_PERCENT,3.4,Positive trend with strong 24h trading value,"[44, 100)",2026-05-11 23:49:46.446000+09:00,,36.94195
1150,KRW-MEGA,Rebound Watch,v1,1778545622307,2026-05-12 09:27:02.307000+09:00,1778887491974,2026-05-16 08:24:51.974000+09:00,173.0,169.54,176.114,1.8000000000000016,-2.0000000000000018,33.67931045374131,35.12849248987604,65,PRICE_MOVED_5_PERCENT|STRATEGY_CHANGED|INITIAL_SIGNAL,0.0,-13.294797687861273,,2026-05-13 09:00:09.843000+09:00,STOP_FIRST,-2.0000000000000018,PRICE_MOVED_5_PERCENT,150.0,Pullback with active trading volume,"[32, 36)",2026-05-12 09:27:02.307000+09:00,,1413.1255999999998
379,KRW-MOVE,Momentum Breakout,v1,1778473364054,2026-05-11 13:22:44.054000+09:00,1778494986978,2026-05-11 19:23:06.978000+09:00,30.1,29.6485,30.702,2.0000000000000018,-1.5000000000000124,41.183204150469855,50.114535217609415,8,PRICE_MOVED_5_PERCENT|INITIAL_SIGNAL|STRATEGY_CHANGED|EXPIRED,6.976744186046516,-1.3289036544850568,2026-05-11 16:14:46.151000+09:00,,TARGET_FIRST,2.0000000000000018,EXPIRED,31.8,Positive trend with strong 24h trading value,"[40, 44)",2026-05-11 13:22:44.054000+09:00,172.03495,
689,KRW-MOVE,Momentum Breakout,v1,1778495020100,2026-05-11 19:23:40.100000+09:00,1778545089463,2026-05-12 09:18:09.463000+09:00,32.1,31.6185,32.742000000000004,2.0000000000000018,-1.5000000000000013,49.81360287442048,49.81360287442048,6,PRICE_MOVED_5_PERCENT|INITIAL_SIGNAL|STRATEGY_CHANGED,0.0,-5.607476635514021,,2026-05-11 23:34:21.495000+09:00,STOP_FIRST,-1.5000000000000013,STRATEGY_CHANGED,31.8,Positive trend with strong 24h trading value,"[44, 100)",2026-05-11 19:23:40.100000+09:00,,250.68991666666668
1994,KRW-NEAR,Volume Accumulation,v1,1778630535904,2026-05-13 09:02:15.904000+09:00,1778716852404,2026-05-14 09:00:52.404000+09:00,2387.0,2363.13,2422.805,1.4999999999999902,-1.0000000000000009,33.19492179901843,36.607094289294096,15,STRATEGY_CHANGED|INITIAL_SIGNAL,2.932551319648094,-1.8852115626309172,2026-05-13 10:18:02.208000+09:00,2026-05-14 09:00:52.404000+09:00,TARGET_FIRST,1.4999999999999902,STRATEGY_CHANGED,2342.0,Stable price with high liquidity,"[32, 36)",2026-05-13 09:02:15.904000+09:00,75.77173333333333,1438.6083333333333
471,KRW-ONDO,Momentum Breakout,v1,1778479156256,2026-05-11 14:59:16.256000+09:00,1778777917949,2026-05-15 01:58:37.949000+09:00,652.0,642.22,665.04,2.0000000000000018,-1.5000000000000013,42.85796549619205,42.85796549619205,34,STRATEGY_CHANGED|PRICE_MOVED_5_PERCENT|INITIAL_SIGNAL,0.0,-9.202453987730062,,2026-05-11 16:16:06.941000+09:00,STOP_FIRST,-1.5000000000000013,STRATEGY_CHANGED,592.0,Positive trend with strong 24h trading value,"[40, 44)",2026-05-11 14:59:16.256000+09:00,,76.84475
13,KRW-ONDO,Volume Accumulation,v1,1778457495009,2026-05-11 08:58:15.009000+09:00,1778479124946,2026-05-11 14:58:44.946000+09:00,623.0,616.77,632.3449999999999,1.4999999999999902,-1.0000000000000009,37.85259106109783,40.14108801910983,14,STRATEGY_CHANGED|INITIAL_SIGNAL|EXPIRED,4.654895666131622,0.0,2026-05-11 09:40:13.959000+09:00,,TARGET_FIRST,1.4999999999999902,EXPIRED,652.0,Stable price with high liquidity,"[36, 40)",2026-05-11 08:58:15.009000+09:00,41.982499999999995,
302,KRW-ORCA,Momentum Breakout,v1,1778465966653,2026-05-11 11:19:26.653000+09:00,1778487575645,2026-05-11 17:19:35.645000+09:00,2515.0,2477.275,2565.3,2.0000000000000018,-1.5000000000000013,37.17887078410542,37.34693219623776,5,STRATEGY_CHANGED|INITIAL_SIGNAL|EXPIRED,0.0,-0.6759443339960238,,,EXPIRED_NO_HIT,-0.6759443339960258,EXPIRED,2498.0,Positive trend with strong 24h trading value,"[36, 40)",2026-05-11 11:19:26.653000+09:00,,
609,KRW-ORCA,Momentum Breakout,v1,1778487606814,2026-05-11 17:20:06.814000+09:00,1778493435482,2026-05-11 18:57:15.482000+09:00,2503.0,2465.455,2553.06,2.0000000000000018,-1.5000000000000013,37.27379195245137,37.68186485810019,5,STRATEGY_CHANGED|INITIAL_SIGNAL,0.3196164602477027,0.0,,,NO_HIT,0.03995205753095643,STRATEGY_CHANGED,2504.0,Positive trend with strong 24h trading value,"[36, 40)",2026-05-11 17:20:06.814000+09:00,,
