target,stop,horizon,n,avg,median,win_rate,target_rate,stop_rate,time_rate,profit_factor
1.5,-1.5,360,103,-0.025879879275686402,0.0,26.21359223300971,10.679611650485436,11.650485436893204,77.66990291262135,0.8933141019059468
3.0,-2.5,360,103,-0.026115808448705626,0.0,24.271844660194176,5.825242718446602,6.796116504854369,87.37864077669903,0.919901610115932
3.0,-2.5,60,103,-0.0279733994367771,0.0,16.50485436893204,2.912621359223301,2.912621359223301,94.1747572815534,0.8572076752733664
0.8,-0.8,360,103,-0.0282203124171154,0.0,26.21359223300971,13.592233009708737,16.50485436893204,69.90291262135922,0.8358575264935788
1.0,-1.0,360,103,-0.029043278148449557,0.0,26.21359223300971,10.679611650485436,14.563106796116504,74.75728155339806,0.8490046180687895
1.5,-1.5,60,103,-0.029969535961762588,0.0,16.50485436893204,5.825242718446602,5.825242718446602,88.3495145631068,0.8014431431728952
2.5,-0.8,720,103,-0.030629079694587127,0.0,25.24271844660194,8.737864077669903,38.83495145631068,52.42718446601942,0.9167729697023332
2.0,-2.0,60,103,-0.03087194247417301,0.0,16.50485436893204,4.854368932038835,3.8834951456310676,91.2621359223301,0.8253037624759798
1.8,-2.0,180,103,-0.03128021295564798,0.0,21.35922330097087,8.737864077669903,4.854368932038835,86.40776699029125,0.8613537164245664
0.8,-1.0,60,103,-0.03364397635388577,0.0,16.50485436893204,6.796116504854369,8.737864077669903,84.46601941747572,0.7122635787717172
2.0,-2.0,360,103,-0.034214008045797016,0.0,25.24271844660194,9.70873786407767,7.766990291262135,82.52427184466019,0.8799065381020531
1.2,-1.2,360,103,-0.0346177433533563,0.0,26.21359223300971,10.679611650485436,12.62135922330097,76.69902912621359,0.8421293517997828
2.0,-2.5,180,103,-0.03474185878833507,0.0,21.35922330097087,8.737864077669903,3.8834951456310676,87.37864077669903,0.8590874052655022
1.0,-1.2,60,103,-0.035334946413161455,0.0,16.50485436893204,6.796116504854369,6.796116504854369,86.40776699029125,0.7327353491239296
1.5,-2.0,180,103,-0.03534574693623062,0.0,22.330097087378643,9.70873786407767,4.854368932038835,85.43689320388349,0.837883380008397
1.0,-1.2,180,103,-0.03680872847552072,0.0,22.330097087378643,9.70873786407767,8.737864077669903,81.55339805825243,0.7846762343609281
0.8,-1.0,180,103,-0.03715384190352941,0.0,22.330097087378643,10.679611650485436,10.679611650485436,78.64077669902912,0.7552113461987866
1.0,-1.5,180,103,-0.03875047604833625,0.0,23.300970873786408,10.679611650485436,7.766990291262135,81.55339805825243,0.7877807789882179
1.2,-1.5,60,103,-0.04046993334990959,0.0,16.50485436893204,6.796116504854369,5.825242718446602,87.37864077669903,0.731874968894651
1.8,-2.0,60,103,-0.04058068033825067,0.0,16.50485436893204,4.854368932038835,3.8834951456310676,91.2621359223301,0.7703645574881409
3.0,-0.8,1440,103,-0.041127250212959765,-0.6950880444856367,24.271844660194176,8.737864077669903,46.601941747572816,44.66019417475729,0.9038452203420184
2.5,-2.5,60,103,-0.04253650623289361,0.0,16.50485436893204,2.912621359223301,2.912621359223301,94.1747572815534,0.782869199559694
1.2,-1.5,360,103,-0.046268228790249506,0.0,27.184466019417474,11.650485436893204,11.650485436893204,76.69902912621359,0.8092662068038964
0.8,-1.0,360,103,-0.04864006853798982,0.0,26.21359223300971,13.592233009708737,14.563106796116504,71.84466019417476,0.7471213239595649
0.8,-1.2,60,103,-0.048927179422870185,0.0,16.50485436893204,6.796116504854369,6.796116504854369,86.40776699029125,0.6299271159518848
2.0,-2.5,60,103,-0.050056780713572495,0.0,16.50485436893204,4.854368932038835,2.912621359223301,92.23300970873787,0.7444813919532035
2.0,-0.8,720,103,-0.05053721912955477,0.0,26.21359223300971,10.679611650485436,38.83495145631068,50.48543689320388,0.8614255022296994
1.8,-2.5,180,103,-0.05221758694367487,0.0,21.35922330097087,8.737864077669903,3.8834951456310676,87.37864077669903,0.7882060452828155
1.2,-2.0,180,103,-0.05282147509157041,0.0,23.300970873786408,10.679611650485436,4.854368932038835,84.46601941747572,0.7577292956839901
2.5,-0.8,1440,103,-0.053134197987986756,-0.6759443339960258,25.24271844660194,10.679611650485436,45.63106796116505,43.689320388349515,0.8734756230162869
1.8,-2.0,360,103,-0.05363148377395236,0.0,25.24271844660194,9.70873786407767,7.766990291262135,82.52427184466019,0.8117498965769747
3.0,-1.0,720,103,-0.05367158316205111,0.0,26.21359223300971,6.796116504854369,33.980582524271846,59.22330097087378,0.8754557987295334
1.0,-1.5,60,103,-0.05406216635961833,0.0,16.50485436893204,6.796116504854369,5.825242718446602,87.37864077669903,0.6418224880316586
1.5,-2.0,60,103,-0.05575058325087203,0.0,16.50485436893204,5.825242718446602,3.8834951456310676,90.29126213592234,0.6845220496946426
1.0,-1.2,360,103,-0.055976966654327186,0.0,26.21359223300971,10.679611650485436,12.62135922330097,76.69902912621359,0.7447228168573332
1.5,-2.5,180,103,-0.05628312092425751,0.0,22.330097087378643,9.70873786407767,3.8834951456310676,86.40776699029125,0.7644703370462053
0.8,-1.2,180,103,-0.0563205401181449,0.0,22.330097087378643,10.679611650485436,8.737864077669903,80.58252427184466,0.670536003732636
2.0,-0.8,1440,103,-0.05660540426541725,-0.5291005291005346,27.184466019417474,12.62135922330097,44.66019417475729,42.71844660194174,0.8615532099629987
2.5,-2.5,360,103,-0.059441549416162816,0.0,24.271844660194176,6.796116504854369,6.796116504854369,86.40776699029125,0.8176900244233152
1.8,-2.5,60,103,-0.05976551857765017,0.0,16.50485436893204,4.854368932038835,2.912621359223301,92.23300970873787,0.6949224081440886
0.8,-1.5,180,103,-0.06020403526377597,0.0,23.300970873786408,11.650485436893204,7.766990291262135,80.58252427184466,0.6702891223966536
1.5,-2.0,360,103,-0.060609639113758294,0.0,26.21359223300971,10.679611650485436,7.766990291262135,81.55339805825243,0.7814371545010185
1.2,-2.0,60,103,-0.06625098063901903,0.0,16.50485436893204,6.796116504854369,3.8834951456310676,89.32038834951457,0.6251030507848414
0.8,-1.5,60,103,-0.06765439936932707,0.0,16.50485436893204,6.796116504854369,5.825242718446602,87.37864077669903,0.5517700071686663
